Folder;Instance;BKS;Base_Avg_Cost;Ext_Avg_Cost;Base_ARPD (%);Ext_ARPD (%);Base_Avg_Time_s;Ext_Avg_Time_s;Cost_Wilcoxon_p;Cost_Sig(<0.05);Time_Wilcoxon_p;Time_Sig(<0.05)
MPRP_c++_100_1_1;100RC105;1480.6;1489.74;;0.62;;71.91;108.98;;No;0.002;Yes
MPRP_c++_100_1_1;100RC206;1139.8;1175.66;1171.52;3.15;2.78;220.38;134.8;1.0;No;0.16;No
MPRP_c++_25_2_2;25RC102;443.37;443.37;443.38;0.0;0.0;2.12;2.14;1.0;No;0.312;No
MPRP_c++_25_2_2;25RC104;371.66;372.76;372.34;0.3;0.18;2.1;2.19;;No;0.1;No
MPRP_c++_25_2_2;25RC107;390.89;390.89;390.89;0.0;0.0;2.08;2.06;1.0;No;0.625;No
MPRP_c++_25_2_2;25RC206;461.32;462.78;462.23;0.32;0.2;3.3;3.47;0.324;No;0.01;Yes
MPRP_c++_50_3_3;50RC101;1112.02;1118.4;1121.71;0.57;0.87;36.2;19.74;0.461;No;0.02;Yes
MPRP_c++_50_3_3;50RC106;937.81;944.57;950.88;0.72;1.39;19.94;20.3;0.049;Yes;0.275;No
MPRP_c++_50_3_3;50RC201;1028.69;1051.14;1048.99;2.18;1.97;56.96;36.3;0.812;No;0.232;No
MPRP_c++_50_3_3;50RC202;879.28;891.7;889.57;1.41;1.17;76.07;36.89;0.77;No;0.006;Yes
